subject,course_number,course_text_narrative,title_short_desc
CSDY,4723,"Writing Comic Books and Graphic Novels is an intensive, workshop-based creative writing course that provides students with a comprehensive overview of all aspects of the history, composition, revision, and marketing of comic books and graphic novels.  This course may be taken three times for credit.  Prerequisite(s):  ENG 1113 and 1213",Writing Comic Bks/Graph Novels
CSDY,5723,"Writing Comic Books and Graphic Novels is an intensive, workshop-based creative writing course that provide students with a comprehensive overview of all aspects of the history, composition, revision, and marketing of comic books and graphic novels.  This course may be taken three times for credit.",Writing Comic Bks/Graph Novels
CSDY,5423,"Writing Comedy and Satire provides students with a comprehensive overview of contemporary comic and satiric writing.  Students enrolled in this course will read contemporary comic and satiric literature, will study and pratice the techniques of effective comic and satiric writing, and will produce original comic and satiric works in a variety of genres.",Writing Comedy and Satire
CSDY,4423,"Writing Comedy and Satire provides students with a comprehensive overview of contemporary comic and satiric writing.  Students enrolled in this course will read contemporary comic and satiric literature, will study and practice the techniques of effective comic and satiric writing, and will produce original comic and satiric works in a variety of genres.  This course may be taken three times for credit.  Prerequisite(s): ENG 1113 and ENG 1213.",Writing Comedy and Satire
CSDY,3333,"Writers on Writing is a course on poetics, the theory and study of literary composition. Students will read, analyze, discuss, and apply major statements, written by a diverse group of creative writers across several literary periods, on the art and craft of creative writing. Prerequisite(s): ENG 1113, ENG 1213, and ENG 2303. Junior standing or higher required.",Writers on Writing
HUM,4113,"World Religions is an interdisciplinary course that examines the diverse phenomena of humanity's various religious practices and beliefs.  Cultural and intercultural parallels will be drawn, and similarities and differences distinguished.  Through an exposure to the diverse means by which religions are made manifest, students will gain a broader contextual framework within which they may better understand both their own convictions and those of others. Prerequisite(s):  Junior standing.",World Religions
HUM,5103,"World Religions examines the diverse phenomena of humanities's various religious practices and beliefs.  Cultural and intercultural parallels will be drawn, and similarities and differences distinguished.  Through an exposure to the diverse means by which religions are made manifest, students will gain a broader contextual framework within which they may better understand their own convictions and those of others.  Emphasis will be given to the major religious traditions of Hinduism, Buddhism, East Asian Religions, Judaism, Christianity, and Islam.  Other religious traditions will be explored as time permits.",World Religions
ENG,3213,"World Literature II examines literary texts and traditions from Africa, the Americas, Asia, Australia, Europe, and Oceania that were composed since 1600. Texts are studied with special attention to their distinct historical and cultural contexts and to the complex patterns of interaction and influence among world literatures and cultures. Prerequisite(s):  ENG 1113 and ENG 1213. Sophomore standing or higher required.",World Literature II
ENG,3193,"World Literature I examines literary texts and traditions from Africa, the Americas, Asia, and Europe that were composed prior to 1600. Texts are studied with special attention to their distinct historical and cultural contexts and to the complex patterns of interaction and influence among world literature and cultures. Prerequisite(s): ENG 1113 and ENG 1213. Sophomore standing or higher required.",World Literature I
HIST,1023,"World History II introduces students to political, social, and cultural connections and developments in world history since 1450.",World History II
HIST,1013,"World History I introduces students to political, social, and cultural connections and developments in world history to 1450.",World History I
HIST,3423,"Women's History: European investigates the historical and cultural roles of women from early modern Europe to the mid twentieth century.  As we analyze both representative individuals and general trends, topics will include theories of women's history, changing roles, rights, and responsibilities culturally ascribed to women, and the ways in which women have navigated social constraints in politics, business and industry, and the church.  Prerequisite(s):  HIST 1103 or 1203 or 1263 and sophomore standing or above.",Women's History: European
HIST,4453,"Women's History: China explores the history and culture of women in China from ancient through modern times, with emphasis on the agency of women in the face of Confucianism, Daoism, Buddhism, Communism, and state-sponsored Capitalism.  Prerequisite(s):  ENG 1113 and ENG 1213 with sophomore standing or above.",Women's History: China
HIST,5453,"Women's History: China explores the history and culture of women in China from ancient through modern times, with emphasis on the agency of women in the face of Confucianism, Daoism, Buddhism, Communism, and state-sponsored Capitalism.",Women's History: China
HIST,4413,Women/Gender in Native America examines the varied historical experiences of Native women within the broader context of changing gender roles in indigenous communities in North America.  Prerequisite(s):  HIST 1483 or 1493 and sophomore standing or above.,Women/Gender in Native America
HIST,5413,Women/Gender in Native America examines the varied historical experiences of Native women within the broader context of changing gender roles in indigenous communities in North America.,Women/Gender in Native America
HUM,5143,"Women, Witches and Religion examines the phenomenon of women when her worldview lies outside the norm for adult females of her period.  It explores as well society's responses in their historical, literary, psychological and philosophical/religious dimensions from the biblical period to the present, to specific diverencies from that norm as maenads, oracles, martyrs, anchorities, witches, hysterics, and modern day adherents of Wicca.","Women, Witches, and Relition"
SPAN,4303,"Women Writing in Spanish America provides a comprehensive overview of literature by women writers from diverse periods and geographic regions of Central and South America, Mexico, and the Caribbean.  Concepts introduced include issues influencing women's roles in Spanish America, such as silencing, otherness, and mythical images of women leading to the formation of false identities. These notions and others are considered in relation to influential political and religious institutions often regarded as instruments of oppression.  Prerequisite(s):  ENG 1113, ENG 1213, and 17 hours in Spanish.",Women Writing In Span America
HUM,5243,"Women in the Humanities examines the phenomenon of the historical unfolding story of women's place in the evolution of Western civilization from prehistory to the present.  Bringing together aspects of political, economic, religious, intellectual, artistic, and social history, it traces the contribution of women--and barriers placed upon them--in public and private life.",Women in the Humanities
HIST,4423,"Women in the American West traces regional identity, mobility, and cultural representations in an effort to understanding how women's diverse perspectives shaped the American West.  Prerequisite(s):  HIST 1483 or 1493 and sophoore standing or above.",Women in the American West
HIST,5423,"Women in the American West traces regional identity, mobility, and cultural representations in an effort to understand how women's diverse perspectives shaped the American West.",Women in the American West
MCOM,5313,"Women in Media focuses on women as journalism professionals and as subjects of the media. With the backdrop of history, statistics, and input from guest speakers, we will discuss past, current, and possible future issues related to those two main areas. Admission to Graduate Program required.",Women in Media
MCOM,4313,"Women in Media focuses on women as journalism professionals and as subjects of the media.  With the backdrop of history, statistics and input from guest speakers, we will discuss past, current and possible future issues related to those two main areas. This course relies heavily on students' opinions in reaction to the readings and discussion.  Prerequisite(s):  ENG 1113, ENG 1213 and MCOM 1113.",Women in Media
ENG,5683,"Women in Literature examines literature written by women and highlights the importance of gender in evaluating English, American, and world literature and literary cirticism by women writers.",Women in Literature
MCOM,3533,"Women and Leadership will critically examine historical and contemporary leadership challenges and opportunities facing women.  A major focus of the center on strategies for change and success.  This course is cross-listed with LEAD 3533 and credit may not be earned for both MCOM 3533 and LEAD 3533.  Prerequisite(s):  ENG 1113, ENG 1213 and MCOM 1113 with junior or senior standing.",Women and Leadership
CJ,4533,"White Collar Crime will broaden students' understanding of crime by focusing specifically on this type of crime.  Emphasis will be placed on the following: definitional debates about white collar crime, the complex nature of victimization, offender sentencing issues, and difficulties inherent in the criminal justice system response to white collar crime.  Prerequisite(s):  ENG 1113, 1213, (CJ 1413 or LS 3113) with a minimum grade of ""C"".  Junior or senior standing.",White Collar Crime
HUM,4323,"When God was a Woman examines the historical and cultural phenomena of religious traditions involving the worship of Goddesses, in particular those outside the monotheistic male-oriented Abrahamic faith.  Literary, historical, psychological, philosophical and religious responses to and interpretations of such traditions will be evaluated to gain an understanding of this heterodoxy, from ancient times to the present.  Prerequsite(s): Junior or senior standing.",When God was a Woman
FRSC,5553,"Weapons of Mass Destruction (WMD) Forensics will cover chemical, biological, radiological, nuclear, and explosive (CBRNE) agents associated with domestic and international terrorism events.  Students will be introduced to crime scene processing involving CBRNE events and the corresponding laboratory and field analyses.  Prerequisite(s):  FRSC 2503 or equivalent.",WMD Forensics
FRSC,4553,"Weapons of Mass Destruction (WMD) Forensics will cover chemical, biological, radiological, nuclear, and explosive (CBRNE) agents associated with domestic and international terrorism events.  Students will be introduced to crime scene processing involving CBRNE events and the corresponding laboratory and field analyses.  Prerequisite(s):  FRSC 2503 or equivalent and junior standing or above.",WMD Forensics
THRT,3513,"Voice, Speech, and Dialect is a studio course designed to explore a wide range of vocal techniques for the purpose of performance, including the fundamentals of developing a stage dialect.  The course is focused on improving vocal clarity, expressiveness and projection, as well as building vocal confidence both on and off stage.  Prerequisite(s):  THRT 1523 and 1553.  Enrollment open to Theatre Arts majors with sophomore stand or above.","Voice, Speech, and Dialect"
THRT,2233,Voice and Movement 2 continues to examine the disciplines and practices introduced in Voice and Movement 1.  The primary focus is now controlling and using resonance to enhance expressive intonation.  Group work is introduced for more physical control and text analysis is introduced with specific emphasis on vocal interpretation.  Prerequisite(s):  THRT 1613.,Voice and Movement 2
THRT,1613,"Voice and Movement 1 is the fundamental, laboratory course familiarizing the actor with proper breathing, resonance and articulation.  Students will engage in floor exercises and theatre games to relax the body, eliminate accumulated posture and breathing dysfunctions and begin practicing appropriate support for a stage worthy vocal instrument.  Prerequisite(s):  Enrollment open to Theatre Arts and Music Theatre majors only.",Voice and Movement 1
ENG,1253,"Vocabulary Building examines prefixes, suffixes, and etymologies as a means of increasing students' reading comprehension and writing competency.",Vocabulary Building
MCOM,3033,"Video News II is the study of reporting, writing and editing news.  Emphasis is on researching stories, the use of electronic news-gathering equipment, writing and reporting style, and on-air presentation of completed stories.  Prerequisite(s):  ENG 1113, ENG 1213, MCOM 1113, MCOM 1133 and (MCOM 2033 or MCOM 2443), and MCOM 2203.",Video News II
MCOM,2203,"Video News I addresses theories and practices of news gathering and writing for video-based reporting.  Students generate content and create team-driven newscasts and video-driven content.  Prerequisite(s):  ENG 1113, ENG 1213, MCOM 1133 and MCOM 2033.  Enrollment open to Mass Communication majors.",Video News I
MCOM,3243,"Video Field Production is a study of various creative forms of storytelling concentrating on the production of feature stories.  Students will incorporate the critical elements of videography, sound, editing, writing, directing, and producing to tell the most compelling stories possible across different media platforms.  Prerequisite(s):  ENG 1113, ENG 1213, MCOM 1113, MCOM 1133, and (MCOM 2033 or MCOM 2443).",Video Field Production
MCOM,3013,"Video Editing focuses specifically on essential video editing techniques. The course provides a dynamic range of video editing projects that will build the skills of students through the industry standard in video editing software. Prerequisite(s): ENG 1113, ENG 1213, MCOM 1113, and MCOM 2033.",Video Editing
MCOM,4433,"Victims and the Media is an intensive study of the interpersonal and psychological effects of trauma and the impact of media coverage on victims, journalists and communications professionals.  Prerequisite(s): ENG 1113, ENG 1213, MCOM 1113 and (MCOM 1133 or MCOM 1173) and junior or senior standing.",Victims and the Media
CJ,4323,"Victimology is designed to provide a complete and integrated study of victimization, including a comprehensive review of the history and theories of victimology, the interaction of crime victims with others in the criminal justice system, an in-depth examination of current as well as classical works in the field and a focus on victim services.  Prerequisite(s):  ENG 1113, 1213 and junior standing or above.",Victimology
ECON,5363,"Use of theory, case studies and legal precedents to investigate alternative forms of industrial organization, with emphasis placed on underlying structure, market performance/conduct, social welfare implications, and policy alternatives such as regulation and antitrust. Prerequisite(s):  Completed all prerequisites for the MBA Program.",Market Structure/Reg/Antitrust
ECON,5103,"Use of economic theory and analysis in the solution of business and public policy problems using demand and cost estimation and analysis, economic forecasting, and cost/benefit analysis. Investigation of various forms of competitive and noncompetitive behavior. Prerequisite(s): Completed all prerequisites for the MBA Program.",Microeconomic Analysis
HIST,1483,US History to 1877 is a survey of US history from the colonial period through the Civil War.,History Of U.S. To 1877
HIST,1493,US History since 1877 is a survey of US history from the post-bellum period to the present.,History Of U.S. Since 1877
POL,4363,Urban Sustainability is the study of the relationship between local political processes and the pursuit of sustainable development in Oklahoma as well as worldwide.  This class focuses on the theoretical underpinnings of sustainability and sustainable development as applied in the urban context.,Urban Sustainability
POL,5363,Urban Sustainability is the study of the relationship between local political processes and the pursuit of sustainable development in Oklahoma as well as worldwide.  This class focuses on the theoretical underpinnings of sustainability and sustainable development as applied in the urban context.,Urban Sustainability
POL,5173,"Urban Planning and Politics is a comprehensive survey of American law of land use planning and controls, with emphasis on the law of nuisance; restrictive covenants, planning, zoning and subdivision controls; and recent innovations in land use controls.",Urban Planning and Politics
POL,5013,"Urban History of Policy/Admin is the study of contemporary political, social, and economical institutions and environment of urban areas, placed in a historical context.",Urban History of Policy/Admin
POL,5183,Urban Government and Policy examines the administrative and political environment of municipal governments in the U.S. with emphasis on Oklahoma governments.,Urban Government And Policy
GEO,4733,"Urban GIS offers advanced geographic information system techniques applied to urban and socio-economic issues including urban and regional planning, urban ecology, and demographic analysis. Prerequisite(s):  GEO 3103 or GEO 4113. Junior standing or above.",Urban GIS
GEO,5733,"Urban GIS offers advanced geographic information system techniques applied to urban and socio-economic issues including urban and regional planning, urban ecology, and demographic analysis.",Urban GIS
SFTY,5412,"Upon completion of this course, the student will be familiar with the principles of hazard and risk communication, the principles of design and delivery of hazard training programs, and the elements of an acceptable hazard communication program.   Prerequisite(s):  SFTY 3433.",Hazard Communication
SFTY,4412,"Upon completion of this course, the student will be familiar with the principles of hazard and risk communication, the principles of design and delivery of hazard training programs, and the elements of an acceptable hazard communication program.   Prerequisite(s):  SFTY 3433 and junior or senior standing.",Hazard Communication
MPER,2010,University Choir provides a non-auditioned opportunity for musically talented students to develop their vocal talents rehearsing and performing a wide variety of mixed choral literature.,University Choir
MPER,2111,University Choir provides a non-auditioned opportunity for musically talented students to develop their vocal talents rehearsing and performing a wide variety of mixed choral literature.,University Choir
HIST,4873,"United States since 1945 examines the political, social, economic, and cultural changes in the United States from World War II to the present.  Prerequisite(s):  HIST 1483 or 1493 and sophomore standing or above.",United States since 1945
HIST,5873,"United States since 1945 examines the political, social, economic, and cultural changes in the United States from World War II to the present.",United States since 1945
PHED,5602,Understanding motor characteristics and assessing motor development of the exceptional child; development and adaptation of physical education and recreation programs; and field and/or laboratory experiences.,PE&Rec Except Child
MPER,3341,UCO Jazz Ensembles provide students with technical guidance in ensemble and solo performance while also exposing them to the wide range of styles necessary to perform jazz and commercial music on a professional level.,Jazz Ensemble
MPER,5611,UCO Jazz Ensembles provide graduate students with in-depth technical guidance in ensemble and solo performance while also developing advanced proficiency in a wide range of styles necessary to perform jazz and commercial music on a professional level.  This course may be taken four (4) times for credit.  Prerequisite(s):  High level of performance proficiency as determined by the director.,Jazz Ensemble
MCOM,4413,"TV Documentary Production is a study of the field and functions of the full-length television documentary including the history of documentaries in broadcasting, scripting techniques, production design and video, audio and editing techniques used in documentaries.  Prerequisite(s):  ENG 1113, ENG 1213, MCOM 1113, (MCOM 2033 or MCOM 2443/2443L) and MCOM 2203/2203L.  Enrollment is open to Mass Communication majors only with senior standing.",TV Documentary Production
HIST,4653,"Tudor-Stuart England covers important political, military, cultural, and social developments in England from Henry VII to Queen Anne (1485 to 1714).  Prerequisite(s):  ENG 1113 and ENG 1213 with junior or senior standing.",Tudor-Stuart England
HIST,5653,"Tudor-Stuart England covers important political, military, cultural, and social developments in England from Henry VII to Queen Anne (1485 to 1714).",Tudor-Stuart England
SPED,4322,"Trends and Issues in Special Education is a course that will address medical trends, litigation, legislation, controversial issues, curricular development and best practices.  It is designed to provide a means of investigation into the review of relevant research, societal changes and the impact on people included in this population.  Prerequisite(s):  SPED 4123 with a minimum grade of ""C"".",Trends & Issues in Special Ed
SAS,5633,"Trauma Counseling is an extensive review of individual counseling and therapeutic processes involving the treatment of abuse and trauma. Topics include psychoanalytic, behavioral, existential, and humanistic perspectives, in addition to cognitive behavioral approaches. Select theorists are highlighted based upon relevance and application to the field of alcohol and drug dependency. Prerequisite(s): Enrollment open to Substance Abuse Studies majors only.",Trauma Counseling
MCOM,5423,Trauma and Leadership in Communications addresses how trauma affects professionals in the communications industry. It explores reactions to and ethical considerations of workplace trauma. Proactive approaches in anticipating traumatic events are highlighted. Admission to Graduate Program required.,Trauma & Leadership in Comm
CMSC,4173,"Translator Design introduces the principles, tools and techniques used to design a programming language compiler.  Topics covered include lexical, syntax, and semantic analysis, finite automata, regular expressions, LL and LR grammars, type systems and checkers, code generation, interpreters, optimization and code improvement.  Prerequisite(s):  CMSC 3613.",Translator Design
CMSC,5073,"Translator Design introduces students to the principles, tools and techniques used in designing a programming language compiler.  Topics covered include lexical, syntax, and semantic analysis, finite automata, regualar expressions, LL and LR grammars, type systems and checkers, code generation, interpreters, optimization, and code improvement.  Prerequisite(s):  CMSC 3613 and graduate standing.",Translator Design
CJ,1563,"Traffic and Accident Investigation is an in-depth look at the laws governing vehicles and traffic in the state of Oklahoma along with specifics on accident investigation.  Legal examination of Title 47 will focus on enforcement-related statutes.  Accident investigation topics include:  responding to the scene, scene protection, gathering and preservation of evidence, and accident reconstruction.  Practical exercises will enhance learning and develop needed skill sets.  Prerequisite(s):  senior standing and admission to the Collegiate Officer Program.  Enrollment open to Criminal Justice majors only.   Concurrent enrollment in CJ 1533, 1543 and 1553 is required.",Traffic & Accident Invest
HIST,4863,Traditional cultures and religions; impact of western colonialisms; nationalist movements and formation of nations; development of representative governments; and contemporary roles in international relations.,Hist Of Modern Southeast Asia
HIST,5863,Traditional cultures and religions; impact of western colonialism; nationalist movements and formation of nations; development of representative governments; and contemporary roles in international relations.,Hist Of Modern Southeast Asia
ECON,3203,"Topics of this course include:  analysis of behavior of consumers, firms, resource owners, and public entities; theoretical models of industrial organization and performance; identification and analysis of potential market failures and government interventions; development of efficiency and equity concepts.  Prerequisite(s):  ECON 2103.",Intermediate Microeconomics
MATH,2013,"Topics include the structure of number systems, operations, properties, ordering, functions and number theory beginning with natural numbers and extending through the set of all real numbers.  This course is specifically designed for elementary education, special education, and early childhood education majors.",Structures Of Mathematics
CHEM,4325,"Topics in this course include the theory and laboratory methodology of analytical biochemistry, instrumentation, laboratory mathematics, routine, and special procedures, and medical significance. Prerequisite(s):  Appropriate premedical technology curriculum.",Clinical Chemistry II
MATH,5563,"Topics in this course include the structure of graphs, trees, connectivity, planarity, colorability of graphs, digraphs, matrices associated with a graph, and the automorphism group of a graph.  Graph theoretic modeling and applications to engineering, computer science, and data structures will be emphasized.  Prerequisite(s): MATH 3183 or 3143.",Introduction To Graph Theory
CHEM,4351,"Topics in this course include the principles and practices of the medical laboratory including basic management, special education methodology, and special projects in selected areas.  Prerequisite(s): Appropriate premedical technology curriculum.",Topics In Medical Technology
STAT,5253,"Topics in this course include random samples, frequency distributions of sample data, sampling distributions, sampling acceptance plans, rectifying inspection, and the general theory of control charts.  Prerequisite(s):  STAT 4113 or 5113 and 4303.",Quality Control
MATH,5413,"Topics in this course include partial differential equations, elliptic, hyperbolic, and parabolic equations, separation of variables, special functions, eigen function expressions, and the existence and uniqueness of solutions.  Prerequisite(s):  MATH 5363.",Differential Equations
STAT,5423,"Topics in this course include fitting data to a linear equation, a polynomial, an orthogonal polynomial, and an exponential growth curve.  Piecewise polygonal fitting will also be discussed.  Prerequisite(s):  CMSC 1613 and STAT 2113 with a minimum grade of ""C"".",Data Fitting
STAT,5303,"Topics in this course include distribution-free statistics, techniques of hypothesis testing with data drawn from a population that is not distributed in a particular manner, the binomial test, the sign test, the median test, and the Cochran Q test.  Prerequisite(s):  STAT 2113 with a minimum grade of ""C"".",Non-Parametric Statistics
ECON,4513,"Topics in this course include development of neoclassical labor market theory with in-depth investigation of the determination of hours of work and wages; study of the impact of unions and government policy such as affirmative action, minimum wages, and immigration on labor markets; consideration of the investment in human capital and its role in the determination of earnings; and analysis of problems associated with labor market outcomes including discrimination and poverty.  Prerequisite(s):  ECON 2103, 2203.",Labor Econ & Public Policy
MBA,5632,Topics in Sales Force Management will cover timely issues in sales force management.  Contemporary readings from academic and industry journals will be used to discuss current issues and trends in sales force management.  Prerequisite(s):  Enrollment open to MBA Business Administration and Health Care majors only,Topics in Sales Force Mgmt
STAT,4213,"Topics for this course will include multiple regression, logistic regression, survival analysis, proportional hazard models, and time series analysis.  Data will be analyzed using SAS.  Prerequisite(s):  STAT 2113 with a minimum grade of ""C"".",Applied Regression Analysis
STAT,5213,"Topics for this course will include multiple regression, logistic regression, survival analysis, proportional hazard models, and time series analysis.  Data will be analyzed using SAS.  Prerequisite(s):  STAT 2113 with a minimum grade of ""C"".",Applied Regression Analysis
STAT,2113,"Topics for this course include basic experimental statistics, methods of estimation, tests of significance, probability, linear regression, and correlation.  Credit cannot be earned for both STAT 2103 and STAT 2113.  Prerequisite(s):  MATH 1453 or MATH 1513 or high school Algebra II each with a minimum grade of ""C"".",Statistical Methods
STAT,5103,"Topics for this course include basic concepts of experiments and experimental error, analysis of variance of one-, two-, and three-way classifications, and nonparametic statistics. Prerequisite(s):  STAT 2113 with a minimum grade of ""C"".",Applied Experimental Design
STAT,4103,"Topics for this course include basic concepts of experiments and experimental error, analysis of variance of one-, two-, and three-way classification, analysis of covariance, and nested and incomplete block designs.  Prerequisite(s):  STAT 2113 with a minimum grade of ""C"".",Applied Experimental Design
MATH,0313,"Topics covered in this course will include polynomial arithmetic, solving equations and inequalities, and graphing.",Foundations of Algebra
FIN,4373,To provide students with an advanced study of real estate appraisal by covering the entire valuation process.  The sales comparison approach to value and the cost approach to value are treated in depth.  The fundamentals of the income capitalization approach to value are introduced using simple direct capitalization techniques.  Prerequisite(s):  FIN 3443; junior standing.,Adv Real Estate Appr
MCOM,2053,"To examine the communication process in its many forms, elements, functions, and effects with particular emphasis on the student as a consumer of communication.  Special attention focused on major channels of cultural and subcultural communication.",Intro to Human Communication
ART,3603,"Through this course the student will build on foundation painting techniques while addressing various surfaces and support structures using oil.  Students will develop individual works based on preliminary painted sketches, visual research, material experimentation and observation.  Prerequisites(s):  ART 2233, 2903 with minimum grade of ""C"".  Junior or senior standing.",Painting II: Surface & Techniq
ELED,5223,"Through the use of quality children's literature, focus of this course seeks to enable teachers and other school personnel to enhance elementary and middle school students' performance in language arts, particularly listening, speaking, and writing. Prerequisite(s):  ELED 4213 - Teaching Language Arts in Elementary/Middle School Grades.",Lit-Based Lang Arts Instruct
ACM,3123,"Through the analysis of existing contemporary music, students will study various charting methods, transcription pieces, and contemporary arrangement techniques.  Prerequisite(s):  ACM 1352.","Charting, Transcrpt, Arranging"
ENGR,4862,"Through discussions with the course instructor, faculty members, and industry liaisons, students will determine a design-related engineering problem they wish to study. A detailed written project proposal will be submitted and approved by the chosen faculty project director. Working as a member of a design team, students will apply the design process by developing projects from the proposal stage to the test, evaluation, and implementation stages. Students majoring in Mechanical Engineering are expected to follow this course with ENGR 4892 Senior Engineering Design II. Prerequisite(s): ENGR 3303, ENGR 3363, ENGR 4533, and (ENGR 4803 or concurrent enrollment in ENGR 4803)  Senior standing required. Enrollment open to Mechanical Engineering majors only. Admission to Engineering & Physics Upper Division required.",ME Senior Engineering Design I
ENGR,4852,"Through discussions with the course instructor, faculty members, and industry liaisons, students will determine a design-related engineering problem they wish to study. A detailed written project proposal will be submitted and approved by the chosen faculty project director. Working as a member of a design team, students will apply the design process by developing projects from the proposal stage to the test, evaluation, and implementation stages. Students majoring in Engineering Physics are expected to follow this course with ENGR 4892 Senior Engineering Design II. Prerequisite(s):  ENGR 3303 with senior standing. Enrollment open to Engineering Physics majors only. Admission to Engineering & Physics Upper Division required.",EP Senior Engineering Design I
ENGR,4872,"Through discussions with the course instructor, faculty members, and industry liaisons, students will determine a design-related engineering problem they wish to study. A detailed written project proposal will be submitted and approved by the chosen faculty project director. Working as a member of a design team, students will apply the design process by developing projects from the proposal stage to the test, evaluation, and implementation stages. Students majoring in Electrical Engineering are expected to follow this course with ENGR 4892 Senior Engineering Design II. Prerequisite(s):  ENGR 3223, ENGR 3303, ENGR 3323, ENGR 3403, and (ENGR 4803 or concurrent enrollment) with senior standing. Enrollment open to Electrical Engineering majors only. Admission to Engineering & Physics Upper Division required.",EE Senior Engineering Design I
ENGR,4842,"Through discussions with the course instructor, faculty members, and industry liaisons, students will determine a design-related engineering problem they wish to study. A detailed written project proposal will be submitted and approved by the chosen faculty project director. Working as a member of a design team, students will apply the design process by developing projects from the proposal stage to the test, evaluation, and implementation stages. Students majoring in Computer Engineering are expected to follow this course with ENGR 4892 Senior Engineering Design II. Prerequisite(s): ENGR 3323, ENGR 3331, ENGR 3403, ENGR 3421, ENGR 3303, ENGR 3613, CMSC 3613, CMSC 3621, CMSC 3833, and SE 3103. Enrollment open to Engineering majors only. Senior standing or higher. Admission to Engineering & Physics Upper Division required.",CE Senior Engineering Design I
BME,4882,"Through discussions with the course instructor, faculty members, and industry liaisons, students will determine a design-related engineering problem they wish to study. A detailed written project proposal will be submitted and approved by the chosen faculty project director. Working as a member of a design team, students will apply the design process by developing projects from the proposal stage to the test, evaluation, and implementation stages. Students majoring in Biomedical Engineering are expected to follow this course with ENGR 4892 Senior Engineering Design II. Prerequisite(s): ENGR 3303, ENGR 3323, BME 3113, BME 4233 with senior standing. Enrollment open to Biomedical Engineering majors only. Admission to Engineering & Physics Upper Division required.",BME SR Engineering Design I
